recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
50.171001	0.229000	0.419000	0.591000	52.278000	19.128506	167.157028
49.101002	0.253000	0.356000	0.500000	52.025002	19.221527	168.138702
46.381001	0.432000	0.321000	0.452000	48.761002	20.508192	178.397522
50.289001	0.221000	0.304000	0.555000	53.960999	18.531902	162.086166
49.800999	0.297000	0.367000	0.528000	51.840000	19.290123	168.378326
42.300999	0.213000	0.289000	0.499000	46.410000	21.547081	189.184021
45.944000	0.230000	0.292000	0.670000	48.495998	20.620258	181.038681
37.945999	0.162000	0.242000	0.475000	41.820000	23.912004	211.257385
39.226990	0.215000	0.292000	0.479000	41.927979	23.850422	210.589218
43.721001	0.209000	0.285000	0.490000	46.285000	21.605272	189.778931
42.798000	0.440000	0.429000	0.500000	45.394001	22.029343	194.730682
45.597000	0.113000	0.215000	0.429000	47.102001	21.230520	183.751160
45.237000	0.265000	0.310000	0.535000	47.771999	20.932764	183.505966
46.882999	0.567000	0.229000	0.553000	49.147999	20.346708	176.643188
46.271999	0.173000	0.240000	0.553000	48.500999	20.618132	180.687729
44.526001	0.255000	0.350000	0.526000	47.023998	21.265738	186.343124
46.752998	0.241000	0.293000	0.515000	48.727001	20.522503	179.700699
42.560001	0.250000	0.302000	0.499000	45.234001	22.107264	193.642838
36.723000	0.178000	0.264000	0.465000	39.098000	25.576756	226.284912
39.104000	0.252000	0.302000	0.468000	41.066002	24.351044	214.586304
36.661999	0.181000	0.280000	0.452000	39.549999	25.284451	224.270340
45.523998	0.223000	0.296000	0.483000	47.868999	20.890347	183.405655
43.882000	0.259000	0.328000	0.500000	46.314999	21.591278	188.992188
40.884998	0.174000	0.286000	0.488000	43.240002	23.126734	203.281357
36.778000	0.172000	0.377000	0.462000	40.310001	24.807739	219.269882
37.299999	0.227000	0.302000	0.474000	39.564999	25.274864	223.012299
44.911999	0.213000	0.378000	0.471000	46.938000	21.304701	187.007782
39.393002	0.232000	0.308000	0.489000	41.723999	23.967022	210.959869
37.452999	0.197000	0.379000	0.468000	39.966999	25.020643	220.671555
36.556000	0.198000	0.286000	0.472000	38.987999	25.648918	226.053177
36.499023	0.180000	0.270000	0.462000	41.734009	23.961273	210.864502
43.799000	0.246000	0.349000	0.505000	46.657001	21.433010	188.724335
47.421001	0.238000	0.303000	0.476000	49.796001	20.081934	175.596756
45.534000	0.226000	0.295000	0.475000	47.890999	20.880751	182.579346
45.243999	0.224000	0.303000	0.487000	47.657001	20.983276	183.353546
43.269001	0.233000	0.368000	0.514000	45.764000	21.851236	191.897507
44.162998	0.252000	0.305000	0.511000	46.741001	21.394493	187.312607
43.640999	0.564000	0.252000	0.427000	45.953999	21.760893	189.860550
45.768002	0.253000	0.293000	0.458000	48.200001	20.746887	184.762955
45.750999	0.241000	0.295000	0.503000	47.736000	20.948551	183.884079
44.009998	0.212000	0.313000	0.497000	46.391998	21.555441	188.195084
46.264999	0.119000	0.209000	0.434000	48.179001	20.755930	179.804688
45.339001	0.160000	0.343000	0.479000	48.382999	20.668417	179.531479
44.360001	0.260000	0.396000	0.524000	46.945999	21.301069	186.438370
43.842999	0.258000	0.342000	0.566000	46.509998	21.500753	189.102966
44.148998	0.152000	0.266000	0.452000	46.714001	21.406858	187.824280
42.653000	0.191000	0.332000	0.480000	45.132999	22.156736	194.486877
43.318001	0.221000	0.293000	0.746000	46.265999	21.614145	191.171555
41.966000	0.145000	0.277000	0.455000	44.189999	22.629555	197.276901
36.624001	0.148000	0.271000	0.416000	39.348999	25.413607	223.493561
44.320999	0.148000	0.397000	0.490000	46.287998	21.603872	188.962387
37.341999	0.154000	0.241000	0.420000	39.864014	25.085281	219.510727
44.862000	0.150000	0.243000	0.465000	47.028999	21.263475	185.486084
40.456001	0.226000	0.291000	0.476000	42.692001	23.423592	205.135529
43.723000	0.217000	0.314000	0.549000	46.243000	21.624895	190.641510
43.185001	0.771000	0.366000	0.524000	45.786999	21.840261	191.932648
44.905998	0.145000	0.395000	0.511000	47.664001	20.980194	185.052338
44.492001	0.154000	0.384000	0.468000	46.645000	21.438524	188.932602
45.312000	0.196000	0.333000	0.568000	48.005001	20.831163	183.441757
43.706001	0.218000	0.338000	0.513000	47.713001	20.958649	183.952621
