framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
1	0.149000	0.093000	1.344000	18.879000	23.004999	43.468811	818.472412
2	3.088000	0.070000	1.331000	16.528000	22.781000	43.896229	422.849243
3	3.811000	0.097000	1.337000	16.740999	22.464001	44.515667	483.018860
4	2.828000	0.084000	1.331000	14.675000	20.471001	48.849590	470.924866
5	4.399000	0.088000	1.367000	14.006000	20.319000	49.215019	415.041656
6	4.236000	0.084000	1.362000	13.657000	20.608999	48.522491	363.263702
7	5.899000	0.104000	1.338000	12.781000	20.618000	48.501308	313.896454
8	3.867000	0.101000	1.332000	11.686000	20.400999	49.017208	267.556976
9	8.867000	0.090000	1.352000	10.022000	20.733999	48.229961	208.036133
10	9.576000	0.134000	1.332000	9.124000	20.597000	48.550758	192.200211
11	6.833000	0.110000	1.363000	9.915000	20.666000	48.388657	207.707901
12	9.477000	0.110000	1.321000	9.018000	20.388000	49.048458	194.348358
13	10.733000	0.073000	1.338000	8.011000	20.608000	48.524845	172.826996
14	9.760000	0.108000	1.361000	9.045000	20.674999	48.367596	190.216721
15	10.981000	0.213000	4.625000	4.161000	20.674999	48.367596	166.896057
16	11.362000	0.236000	3.742000	4.967000	21.042000	47.523998	164.000351
17	12.929000	0.187000	3.698000	3.469000	21.031000	47.548855	143.865112
18	12.726000	0.228000	3.698000	3.285000	20.799000	48.079235	144.202789
19	13.742000	0.185000	3.718000	2.366000	20.736000	48.225307	133.953476
20	13.635000	0.200000	3.804000	2.507000	20.856001	47.947830	136.230591
21	14.444000	1.181000	3.696000	1.732000	21.011000	47.594116	127.751587
22	15.826000	0.222000	3.404000	0.893000	21.243999	47.072117	118.839455
23	15.474000	0.232000	3.850000	0.878000	21.201000	47.167587	120.132957
24	15.146000	0.523000	3.691000	2.099000	22.048000	45.355587	122.978386
25	17.570000	0.261000	2.890000	0.474000	21.959000	45.539413	105.815483
26	16.018999	0.833000	3.296000	0.472000	21.284000	46.983650	113.121391
27	17.416000	0.226000	2.968000	0.292000	21.763000	45.949547	105.127472
28	17.586000	0.243000	2.726000	0.309000	21.825001	45.819012	104.572800
29	16.165001	0.223000	3.340000	0.434000	21.009001	47.598648	114.826813
