recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
29.431000	0.115000	0.100000	0.272000	31.370001	31.877588	137.341217
28.723000	0.139000	0.104000	0.255000	29.594000	33.790634	145.567047
25.527000	0.096000	0.104000	0.264000	27.268999	36.671680	158.536789
22.559999	0.132000	0.143000	2.846000	26.663000	37.505157	181.019058
20.929001	0.138000	0.127000	1.987000	24.857000	40.230114	187.940628
24.194000	0.175000	0.109000	0.304000	26.365000	37.929073	164.854980
22.982000	0.130000	0.106000	0.249000	25.007000	39.988804	173.487244
27.330000	0.161000	0.145000	0.259000	28.309999	35.323208	152.779922
25.809000	0.128000	0.125000	0.273000	27.881001	35.866718	155.093918
26.528000	0.249000	0.186000	0.434000	28.267000	35.376942	156.546753
26.486000	0.242000	0.158000	0.363000	29.825001	33.528919	147.436920
26.612000	0.262000	0.187000	0.393000	28.847000	34.665649	153.504059
27.715000	0.199000	0.126000	0.382000	29.841999	33.509819	148.500732
26.237000	0.187000	0.122000	0.370000	30.035000	33.294491	148.100677
25.739000	0.230000	0.157000	0.373000	27.424999	36.463081	162.173737
25.591000	0.229000	0.158000	0.463000	27.915001	35.823032	159.255920
27.426001	0.500000	0.130000	0.345000	30.103001	33.219280	145.821091
29.646999	0.164000	0.117000	0.434000	31.184999	32.066700	141.466156
24.516001	0.229000	0.155000	0.357000	27.337999	36.579121	163.008972
31.583000	0.160000	0.117000	0.353000	32.993999	30.308542	133.509720
31.516001	0.163000	0.119000	0.402000	32.974998	30.326006	133.046295
24.548000	0.268000	0.157000	0.502000	27.802999	35.967342	160.042908
25.639000	0.429000	0.106000	0.358000	26.969000	37.079609	163.244629
26.226000	0.115000	0.105000	0.296000	27.306999	36.620647	160.769608
29.527000	0.218000	0.119000	0.401000	31.172001	32.080070	141.174561
25.888000	0.237000	0.156000	0.398000	27.579000	36.259472	162.180038
27.382999	0.230000	0.157000	0.413000	28.968000	34.520851	153.329422
29.061001	0.162000	0.114000	0.348000	30.545000	32.738583	144.379852
24.278999	0.257000	0.174000	1.598000	27.690001	36.114120	168.294846
26.584999	0.217000	0.154000	0.407000	28.143999	35.531551	158.027084
25.219000	0.243000	0.155000	0.400000	28.667000	34.883316	154.657578
30.931999	0.165000	0.159000	0.430000	33.181000	30.137730	132.355057
26.726990	0.195000	0.137000	0.556000	28.539001	35.039768	155.608032
29.976999	0.168000	0.162000	0.409000	31.775999	31.470293	139.236145
27.469999	0.172000	0.125000	0.331000	30.136999	33.181805	146.234512
34.313000	0.182000	0.128000	0.381000	35.895000	27.859034	122.147118
34.257999	0.180000	0.147000	0.346000	35.747002	27.974375	122.383255
26.117001	0.174000	0.134000	0.530000	30.622000	32.656261	144.981079
25.245001	0.217000	0.157000	0.358000	26.702000	37.450378	167.532272
28.377001	0.175000	0.141000	0.354000	30.615000	32.663727	144.096024
29.476999	0.181000	0.132000	0.356000	31.014000	32.243504	141.533249
24.573999	0.229000	0.163000	0.371000	28.607000	34.956478	155.116943
25.737000	0.618000	0.157000	0.382000	27.237000	36.714764	162.609253
26.552000	0.229000	0.154000	0.400000	28.163000	35.507580	158.056961
26.356001	0.221000	0.179000	0.384000	27.892000	35.852573	160.454712
25.563999	0.236000	0.159000	0.279000	27.087999	36.916718	162.856476
27.322001	0.146000	0.110000	0.327000	29.351000	34.070389	149.896667
25.089001	0.211000	0.147000	0.350000	26.499001	37.737274	167.110123
27.091000	0.217000	0.154000	0.395000	29.538000	33.854694	149.248734
24.919001	0.395000	0.159000	0.374000	26.938999	37.120903	165.004745
24.792000	0.220000	0.151000	0.350000	26.238001	38.112659	170.353516
25.964001	0.253000	0.158000	0.369000	27.541000	36.309502	162.577621
24.930000	0.647000	0.160000	0.470000	26.523001	37.703125	168.450928
26.308001	0.222000	0.153000	0.372000	27.728001	36.064629	159.426086
25.056999	0.559000	0.171000	0.379000	26.530001	37.693176	167.170288
25.825001	0.472000	0.203000	0.398000	27.386999	36.513676	162.444885
