framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
0	23.455999	0.129000	1.340000	0.247000	25.545000	39.146603	78.819756	
1	22.537001	0.121000	1.321000	0.246000	24.639999	40.584415	81.996529	
2	23.270000	0.118000	1.319000	0.226000	25.459999	39.277298	79.236526	
3	18.391001	0.163000	1.348000	0.264000	20.547001	48.668903	100.244743	
4	17.028999	0.122000	1.376000	0.360000	19.885000	50.289162	104.882217	
5	19.827999	0.103000	1.331000	0.251000	21.910999	45.639179	93.062706	
6	21.006001	0.105000	1.347000	0.251000	23.087999	43.312546	87.863472	
7	19.905001	0.109000	1.362000	0.240000	22.021999	45.409138	92.534760	
8	21.910000	0.089000	1.346000	0.230000	23.940001	41.771095	84.411064	
9	20.535999	0.112000	1.317000	0.241000	22.591000	44.265415	89.964851	
10	20.531000	0.117000	1.321000	0.253000	23.760000	42.087543	85.108742	
11	21.572001	0.134000	1.340000	0.271000	23.742001	42.119450	85.638618	
12	22.032000	0.122000	1.083000	0.265000	23.962000	41.732742	83.610794	
13	20.847000	1.487000	1.172000	0.330000	23.931000	41.786804	84.694199	
14	20.205000	0.110000	1.096000	0.293000	23.819000	41.983292	87.567101	
15	20.068001	0.191000	2.461000	0.423000	24.753000	40.399143	87.871857	
16	17.947001	0.224000	3.401000	0.306000	23.329000	42.865101	99.945778	
17	21.379999	0.166000	2.528000	0.310000	25.100000	39.840637	86.624680	
18	18.193001	0.251000	3.255000	0.336000	23.927999	41.792042	96.877968	
19	19.134001	0.232000	3.200000	0.728000	24.282000	41.182770	96.771133	
20	19.408001	0.244000	3.016000	0.363000	24.004000	41.659725	95.305061	
21	20.600000	0.275000	2.540000	0.704000	25.091999	39.853340	89.986816	
22	18.462999	0.261000	3.373000	0.424000	23.399000	42.736870	100.168472	
23	17.506001	0.267000	3.366000	0.429000	23.271999	42.970093	101.839874	
24	19.476999	0.226000	2.662000	0.341000	23.735001	42.131870	94.055214	
25	26.233999	0.132000	1.082000	0.421000	28.773001	34.754803	70.131653	
26	21.931000	0.305000	2.934000	0.358000	26.427999	37.838657	83.739952	
27	20.492981	0.125000	1.355000	0.324000	23.148987	43.198437	90.264519	
28	20.554001	0.232000	2.571000	0.422000	25.448000	39.295818	86.356819	
29	22.753000	0.237000	2.248000	0.342000	27.320999	36.601883	77.992638	
30	18.792000	0.231000	2.183000	0.397000	22.775000	43.907795	97.513489	
31	19.263000	0.218000	2.857000	0.366000	24.259001	41.221813	93.416451	
32	18.356001	0.315000	2.759000	0.432000	24.490999	40.831326	92.734955	
33	22.792000	0.157000	2.223000	0.324000	26.996000	37.042526	78.863594	
34	19.726000	0.212000	2.875000	0.394000	24.117001	41.464527	93.791977	
35	21.386999	3.888000	3.425000	0.414000	26.434999	37.828636	86.332550	
36	21.614000	0.187000	2.268000	0.687000	27.802000	35.968636	77.959648	
37	20.452000	0.216000	3.398000	0.372000	26.087999	38.331802	87.930542	
38	18.235001	0.226000	3.685000	0.411000	23.625000	42.328041	99.821289	
39	16.200001	0.297000	3.722000	0.358000	22.733000	43.988914	105.967583	
40	17.183001	0.217000	3.688000	0.390000	23.983000	41.696201	98.794022	
41	15.515000	0.657000	3.716000	0.328000	21.417999	46.689701	112.048622	
42	20.180000	0.211000	3.337000	0.309000	25.226000	39.641640	89.675972	
43	19.562000	0.292000	3.961000	0.465000	25.031000	39.950462	95.467972	
44	21.261000	0.276000	3.387000	0.336000	26.223000	38.134464	87.186035	
45	18.277000	0.303000	3.703000	0.456000	24.341999	41.081261	97.420715	
46	20.007000	0.212000	3.540000	0.455000	26.506001	37.727306	87.884430	
47	16.933001	0.225000	3.694000	0.396000	22.705999	44.041225	105.482422	
48	18.520000	0.195000	3.773000	0.413000	24.170000	41.373604	97.358971	
49	17.334999	4.156000	3.679000	0.447000	22.572001	44.302673	106.451050	
50	21.914000	0.251000	3.449000	0.365000	28.165001	35.505058	79.496246	
51	17.230000	0.277000	3.721000	0.367000	23.691999	42.208340	101.230225	
52	18.861000	0.221000	3.702000	0.375000	25.084000	39.866051	92.395607	
53	18.983999	0.253000	3.747000	0.379000	25.266001	39.578880	94.406876	
54	17.507999	0.235000	3.709000	0.402000	23.539000	42.482689	100.941948	
55	22.042000	0.249000	3.356000	0.370000	26.996000	37.042526	83.244507	
56	17.813000	1.044000	3.693000	0.382000	22.858999	43.746449	104.554993	
57	17.605000	0.243000	3.667000	0.379000	22.809999	43.840424	104.995728	
58	21.629999	0.238000	3.644000	0.343000	27.146000	36.837841	84.686424	
59	16.948999	0.225000	3.689000	0.429000	25.010000	39.984005	93.053314	
60	19.101000	0.227000	3.728000	0.383000	24.242001	41.250721	97.148575	
61	17.789000	0.247000	3.683000	0.386000	24.853001	40.236591	94.971138	
62	19.018000	0.254000	3.715000	0.382000	24.232000	41.267746	97.153702	
63	17.761000	0.238000	3.579000	0.321000	25.629000	39.018299	90.176117	
64	19.228001	0.245000	3.695000	0.465000	25.282000	39.553833	94.460106	
65	19.414000	0.222000	3.654000	0.367000	24.487000	40.837997	95.418549	
66	18.205017	4.185000	3.716000	0.511000	23.541016	42.479050	101.230179	
67	23.597000	0.224000	2.894000	0.335000	27.900999	35.841011	78.992027	
68	17.263000	0.280000	3.716000	0.368000	23.841000	41.944550	99.519463	
