framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
0	41.089001	0.130000	4.581000	0.441000	49.216000	20.318596	144.468445	
1	38.821999	0.140000	4.565000	0.415000	48.488998	20.623236	146.691605	
2	40.520000	0.254000	4.609000	0.404000	48.493999	20.621107	147.247787	
3	40.076000	0.113000	4.669000	0.411000	46.421001	21.541973	154.277985	
4	41.384998	0.162000	5.654000	0.487000	49.477001	20.211411	147.797775	
5	33.659000	0.153000	8.094000	0.487000	47.351002	21.118877	167.317062	
6	34.129002	0.142000	7.209000	0.458000	44.437000	22.503769	176.651855	
7	38.020000	0.225000	12.581000	0.594000	53.033001	18.856184	165.634369	
8	27.278992	0.184000	7.403000	0.432000	37.679993	26.539284	234.301315	
9	35.904999	0.139000	6.459000	0.441000	44.528000	22.457779	171.803833	
10	34.492001	0.185000	9.243000	0.458000	46.393002	21.554976	177.079468	
11	31.549000	0.242000	10.409000	0.488000	45.028000	22.208405	191.509064	
12	33.855000	0.224000	9.630000	0.477000	45.493000	21.981403	185.124496	
13	33.139000	0.226000	10.095000	0.495000	44.897999	22.272707	190.269638	
14	19.625000	0.207000	11.040000	0.641000	33.105000	30.206919	311.350311	
15	19.048000	0.255000	12.610000	0.631000	34.745998	28.780293	308.980286	
16	26.839001	0.133000	5.676000	0.575000	35.793999	27.937645	221.756592	
17	33.476002	0.201000	9.271000	0.452000	44.203999	22.622387	187.401886	
18	29.737000	0.525000	10.696000	0.529000	44.377998	22.533689	197.292374	
19	33.792000	0.219000	9.786000	0.546000	46.185001	21.652050	182.822083	
20	27.086000	0.227000	12.084000	0.521000	41.615002	24.029797	226.939957	
21	19.077999	0.210000	10.846000	0.506000	32.665001	30.613806	313.976257	
22	19.660999	0.224000	12.625000	0.474000	35.082001	28.504646	299.893036	
23	19.559000	0.262000	12.609000	0.561000	35.325001	28.308563	300.050354	
24	19.143999	7.195000	12.687000	0.488000	34.703999	28.815123	310.183716	
25	27.874001	0.260000	12.614000	0.605000	42.518002	23.519449	227.901764	
26	25.802000	0.232000	12.101000	0.568000	41.547001	24.069126	234.179123	
27	25.655001	0.227000	12.271000	0.485000	40.785999	24.518217	238.538635	
28	22.896999	1.561000	12.599000	0.551000	38.046001	26.283972	268.636047	
29	19.509001	0.201000	12.335000	0.510000	35.127998	28.467321	301.574921	
30	31.023001	0.691000	12.081000	0.509000	45.551998	21.952934	198.568878	
31	28.385000	0.213000	11.849000	0.572000	42.153999	23.722542	222.501648	
32	32.245972	0.170000	8.398000	0.453000	42.984985	23.263937	191.223862	
33	29.209999	0.440000	10.634000	0.465000	41.446999	24.127199	214.798767	
34	26.924999	0.220000	11.901000	0.609000	41.715000	23.972193	226.409103	
35	24.059999	0.178000	9.508000	0.444000	36.402000	27.471018	248.615204	
36	25.247000	2.886000	12.649000	0.569000	41.050999	24.359943	236.352081	
37	20.461000	0.196000	10.858000	0.507000	34.735001	28.789406	283.016479	
38	31.771000	0.232000	11.833000	0.565000	47.014000	21.270260	190.384811	
39	25.427999	0.184000	11.932000	0.595000	40.237999	24.852131	239.264343	
40	24.610001	0.245000	12.597000	0.467000	39.285999	25.454361	251.186020	
41	30.129000	0.231000	11.250000	0.517000	43.111000	23.195936	208.616501	
42	27.027000	0.192000	10.842000	0.533000	40.334999	24.792364	225.322540	
43	23.350000	0.132000	5.690000	0.406000	31.825001	31.421837	255.719070	
44	37.043999	0.194000	10.418000	0.534000	49.792999	20.083145	166.286682	
45	21.066000	0.219000	12.596000	0.569000	36.904999	27.096600	281.484314	
46	20.200001	0.145000	5.683000	0.439000	28.392000	35.221188	300.036072	
47	28.367001	0.189000	9.513000	0.512000	40.382000	24.763508	215.571579	
48	32.726002	0.238000	10.155000	0.504000	45.189999	22.128790	188.389526	
49	25.070999	0.219000	12.655000	0.476000	40.053001	24.966917	243.552795	
50	20.912001	0.228000	12.604000	0.555000	37.275002	26.827631	279.496063	
51	17.639999	0.192000	10.823000	0.548000	31.589001	31.656590	330.069550	
52	20.561001	0.173000	7.621000	0.482000	31.580000	31.665611	282.153381	
53	25.048000	0.188000	11.903000	0.489000	39.526001	25.299803	240.710724	
54	19.431999	0.204000	12.640000	0.543000	34.458000	29.020836	309.771362	
55	22.462000	0.215000	12.605000	0.489000	37.432999	26.714397	269.441376	
56	29.615999	0.211000	11.409000	0.458000	43.463001	23.008076	206.074554	
57	26.813999	0.202000	10.875977	0.493000	39.963989	25.022528	228.423065	
58	22.150999	0.229000	12.637000	0.512000	37.384998	26.748697	272.322052	
59	19.778000	0.224000	12.596000	0.559000	35.077999	28.507898	306.496643	
60	26.475000	0.205000	11.869000	0.550000	40.828999	24.492395	233.042786	
61	29.528999	0.926000	11.115000	0.559000	43.202000	23.147078	206.724594	
