framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
0	21.402000	0.127000	1.339000	0.280000	24.757000	40.392616	81.640610	
1	21.421000	0.119000	1.331000	0.281000	23.660999	42.263641	86.070503	
2	23.042000	0.137000	1.361000	0.262000	25.205999	39.673096	80.000000	
3	19.243000	0.133000	1.327000	0.256000	21.357000	46.823055	96.215485	
4	20.702999	0.117000	1.337000	0.253000	22.798000	43.863495	89.319633	
5	22.839001	0.114000	1.333000	0.255000	24.931000	40.110706	80.884674	
6	22.750000	0.121000	1.353000	0.255000	24.889000	40.178391	80.994858	
7	22.718000	0.120000	1.364000	0.250000	24.860001	40.225262	81.173203	
8	19.860001	0.127000	1.357000	0.266000	22.865000	43.734966	89.224503	
9	21.410999	0.118000	1.373000	0.251000	24.118999	41.461090	84.003281	
10	21.011999	0.268000	3.711000	0.458000	26.240999	38.108303	87.558784	
11	18.962000	0.260000	3.710000	0.348000	24.250999	41.235413	97.281891	
12	19.806999	0.231000	3.712000	0.557000	25.171000	39.728260	93.577698	
13	18.202000	0.223000	3.717000	0.321000	23.112000	43.267567	102.076759	
14	17.889999	1.468000	3.332000	0.286000	22.871000	43.723492	102.456917	
15	19.618999	0.130000	1.086000	0.301000	21.827000	45.814816	94.561867	
16	23.011999	0.215000	3.571000	0.323000	27.870001	35.880875	79.965294	
17	18.862000	0.162000	2.602000	0.503000	24.365999	41.040794	91.578476	
18	18.562000	0.257000	3.729000	0.354000	23.676001	42.236862	99.038200	
19	17.311001	0.230000	3.741000	0.398000	24.374001	41.027325	96.811806	
20	20.834999	0.210000	3.495000	0.365000	25.961000	38.519318	89.523521	
21	17.936001	0.230000	3.718000	0.384000	24.200001	41.322311	97.158821	
22	17.002991	0.282000	3.790000	0.358000	23.020020	43.440449	103.935898	
23	19.201000	0.215000	3.751000	0.344000	24.268999	41.204830	96.710213	
24	20.226999	0.276000	3.699000	0.339000	25.240000	39.619652	92.679001	
25	22.896999	1.285000	2.736000	0.314000	27.229000	36.725552	79.709389	
26	18.136999	0.228000	3.727000	0.342000	24.434000	40.926579	95.990005	
27	19.896999	0.485000	1.083000	0.279000	21.987000	45.481422	93.194458	
28	22.716999	0.202000	3.697000	0.340000	27.704000	36.095871	81.066101	
29	19.625000	0.561000	3.710000	0.376000	24.900999	40.159031	95.010315	
30	19.547001	0.229000	3.696000	0.358000	24.632999	40.595951	95.025002	
31	20.122999	0.199000	3.717000	0.327000	25.155001	39.753529	92.183044	
32	16.673000	0.215000	3.684000	0.503000	24.073999	41.538589	99.107430	
33	20.344000	0.199000	3.713000	0.327000	25.347000	39.452400	91.206886	
34	15.768000	0.222000	3.703000	0.333000	24.761000	40.386093	94.985825	
35	24.429001	0.159000	2.476000	0.327000	28.363001	35.257198	76.304024	
36	18.650000	0.978000	3.610000	0.482000	23.736000	42.130096	100.244743	
37	19.277000	0.223000	3.762000	0.345000	24.381001	41.015545	97.112747	
38	20.558001	1.724000	3.617000	0.323000	25.490999	39.229534	89.859596	
39	18.802999	0.251000	2.711000	0.315000	24.240000	41.254128	91.301758	
40	19.357000	0.168000	2.065000	0.290000	23.902000	41.837502	89.120972	
41	18.226999	0.241000	3.646000	0.378000	26.649000	37.524860	86.066490	
42	19.739000	0.252000	3.709000	0.398000	25.118999	39.810501	92.950073	
43	17.379999	0.260000	3.290000	0.442000	25.277000	39.561657	91.184326	
44	18.429001	0.246000	3.227000	0.326000	24.089001	41.512722	96.240601	
45	16.718000	0.196000	3.675000	0.358000	23.407000	42.722263	100.589394	
46	18.622000	0.261000	3.776000	0.375000	24.061001	41.561031	102.371567	
47	16.952999	0.238000	3.852000	0.420000	22.591000	44.265415	107.632118	
48	18.333000	0.391000	3.723000	0.361000	24.355000	41.059330	98.094727	
49	16.163000	0.239000	3.704000	0.384000	22.329000	44.784809	107.613266	
50	15.037000	0.243000	3.735000	0.383000	21.542000	46.420944	113.784798	
51	18.361000	0.244000	3.708000	0.475000	25.284000	39.550705	93.444862	
52	16.229000	0.246000	3.743000	0.384000	23.287001	42.942413	102.122002	
53	19.761000	0.259000	3.348000	0.482000	27.606001	36.224007	82.885147	
54	18.534000	0.973000	3.739000	0.426000	24.944000	40.089802	98.136513	
55	17.473000	0.250000	3.673000	0.520000	25.108000	39.827942	94.932007	
56	17.250000	0.976000	3.714000	0.484000	23.065001	43.355732	103.848099	
57	17.705000	0.232000	3.707000	0.355000	22.944000	43.584377	105.416069	
58	15.521000	0.236000	3.701000	0.372000	22.558001	44.330170	106.181229	
59	17.099001	0.265000	3.928000	0.390000	23.421000	42.696728	103.428543	
60	16.952000	0.265000	3.706000	0.381000	23.684000	42.222599	100.622330	
61	17.308001	0.330000	3.956000	0.371000	24.615999	40.623985	98.794022	
62	17.205994	0.280000	3.701000	0.633000	25.679016	38.942303	91.202271	
63	19.480000	0.512000	3.718000	0.378000	25.173000	39.725101	93.968903	
64	16.667999	0.271000	3.640000	0.391000	25.294001	39.535069	92.316940	
65	19.354000	0.263000	3.725000	0.406000	25.489000	39.232609	94.494003	
66	15.363000	0.248000	3.733000	0.386000	22.254999	44.933723	110.054932	
67	19.431000	0.279000	3.709000	0.385000	25.346001	39.453957	91.852295	
68	16.868000	0.285000	3.776000	0.379000	23.472000	42.603954	101.811752	
69	19.014000	0.284000	3.708000	0.563000	24.468000	40.869705	97.169067	
70	15.537000	0.519000	3.739000	0.390000	23.124001	43.245113	104.572800	
71	16.874001	0.515000	3.705000	0.500000	23.736000	42.130096	100.135818	
72	17.506001	0.201000	3.796000	0.353000	23.253000	43.005203	102.240952	
73	19.101999	0.607000	4.052000	0.569000	24.867001	40.213936	95.840256	
74	16.153999	0.223000	3.763000	0.369000	22.104000	45.240681	108.666435	
75	18.948999	0.278000	3.665000	0.425000	25.094999	39.848576	94.180168	
76	17.948000	0.314000	3.748000	0.402000	23.171000	43.157394	104.006325	
77	25.903999	0.235000	2.555000	0.307000	29.965000	33.372269	71.007011	
78	16.459000	0.232000	3.694000	0.374000	22.839001	43.784752	103.341553	
79	13.793000	0.162000	3.705000	0.592000	19.541000	51.174454	131.817200	
80	13.130000	0.270000	3.915000	0.745000	19.444000	51.429745	136.654800	
81	13.191000	0.208000	3.731000	0.324000	18.896999	52.918453	135.519455	
82	11.499000	0.204000	3.681000	0.386000	19.226000	52.012901	130.169495	
