drawtime	alpharemove	copytime
9.008000	0.782000	0.714000
10.888000	0.711000	2.878000
6.773000	0.726000	3.146000
7.309000	0.817000	5.154000
8.414000	0.831000	2.794000
8.217000	0.852000	2.681000
7.276000	0.855000	2.378000
7.913000	0.907000	3.206000
9.746000	0.815000	3.038000
7.130000	0.823000	3.360000
9.451000	0.816000	5.762000
9.925000	1.462000	2.076000
7.310000	1.585000	2.342000
6.408000	1.525000	1.289000
7.999000	1.756000	7.649000
7.257000	1.399000	3.674000
6.841000	1.459000	2.903992
11.949000	1.431000	2.959000
8.124000	1.422000	6.305000
7.787000	1.433000	2.128000
5.842000	0.959000	3.009000
7.901000	0.964000	2.358000
8.685000	0.881000	3.260000
12.500000	0.835000	2.318000
7.865000	1.416000	7.971000
8.283000	1.563000	2.426000
5.367000	1.494000	2.952000
7.152000	1.514000	2.341000
6.445000	1.433000	2.326000
11.313000	0.961000	2.397000
10.493000	0.947000	3.972000
6.898000	0.940000	3.266000
7.173000	0.938000	2.117000
8.192000	1.477000	2.108000
12.522000	1.451000	2.388000
20.693001	1.407000	2.712000
7.467000	1.230000	2.129000
10.061000	0.967000	2.158000
6.992000	0.765000	2.238000
6.928000	0.713000	2.142000
8.142000	0.720000	2.097000
8.078000	0.709000	3.183000
6.828000	0.703000	2.295000
8.029000	0.822000	2.158000
7.335000	0.657000	3.234000
8.133000	0.662000	0.378000
8.832000	0.714000	2.461000
7.317000	0.700000	2.680000
6.923000	0.710000	2.060000
12.497000	0.856000	3.074000
7.279000	0.838000	2.222000
6.748000	0.848000	2.355000
7.071000	0.861000	2.215000
7.201000	0.872000	2.227000
18.886999	0.870000	4.741000
7.042000	0.828000	2.074000
6.227000	0.850000	0.447000
8.627000	0.951000	0.471000
7.399000	0.834000	0.652000
9.797000	0.809000	2.912000
7.900000	0.811000	2.202000
7.651000	0.883000	2.250000
8.698000	0.945000	2.765000
12.412000	0.826000	2.085000
7.423000	0.971000	2.823000
6.840000	1.036000	1.982000
8.866000	1.016000	1.944000
7.652000	0.864000	3.943000
6.844000	0.894000	2.657000
7.377000	0.887000	1.978000
8.073000	0.867000	2.247000
9.689000	0.950000	2.946000
6.794000	0.868000	5.935000
8.210000	0.878000	0.895000
11.016000	1.141000	1.849000
7.714000	1.490000	16.757999
7.359000	1.232000	0.609000
9.258000	0.820000	2.010000
7.630000	0.825000	2.677000
6.890000	0.829000	4.600000
7.282000	0.826000	1.949000
7.707000	1.117000	2.925000
7.141000	1.438000	3.412000
10.692000	1.452000	2.793000
8.538000	1.014000	1.993000
7.657000	0.812000	1.979000
8.293000	0.816000	2.907000
7.024000	0.812000	1.844000
8.877000	0.823000	2.425000
9.625000	0.819000	2.294000
6.775000	1.020000	2.668000
9.023000	1.420000	2.207000
7.650000	1.450000	2.092000
11.744000	1.454000	2.144000
12.005981	1.457000	2.597000
10.548000	1.510000	3.269000
7.052000	1.427000	7.683000
7.040000	1.413000	3.167000
5.702000	1.536000	2.163000
7.692000	1.179000	2.509000
9.118000	1.000000	3.151000
15.580000	0.986000	2.386000
8.028000	0.931000	2.856000
7.040000	0.931000	2.005000
10.851000	0.931000	2.040000
12.248000	1.347000	2.374000
7.629000	1.376000	2.113000
5.677000	0.863000	2.131000
7.054000	0.886000	2.365000
11.610000	0.930000	2.157000
8.534000	0.981000	2.455000
7.597000	1.446000	2.003000
11.895000	1.451000	2.429000
9.775000	1.429000	9.308000
11.852000	0.934000	2.352000
