drawtime	alpharemove	copytime
6.285000	3.538000	0.790000
6.216000	3.528000	0.805000
6.367000	3.555000	0.938000
6.832000	3.516000	1.119000
5.540000	3.525000	0.788000
6.168000	3.520000	0.763000
6.845000	3.512000	0.798000
6.498000	3.540000	0.820000
6.109000	3.514000	0.878000
7.003000	3.525000	1.174000
6.405000	3.551000	0.780000
6.443000	3.513000	0.878000
7.121000	3.480000	1.119000
6.493000	3.545000	0.790000
6.432000	3.593000	0.868000
6.908000	3.535000	0.783000
6.718000	3.512000	0.860000
6.249000	3.528000	0.787000
6.089000	3.518000	0.856000
7.113000	3.559000	0.871000
7.141000	3.552000	0.788000
6.413000	3.526000	0.883000
12.482000	3.521000	0.981000
6.302000	3.528000	0.875000
6.030000	3.511000	0.899000
6.998000	3.492000	0.899000
6.233000	3.602000	0.827000
6.024000	3.504000	0.760000
7.033000	3.535000	0.738000
10.544000	3.525000	2.344000
7.109000	3.534000	1.150000
6.373000	3.498000	0.867000
5.989000	3.552000	0.816000
6.764000	3.497986	1.068000
6.405000	3.495000	0.901000
6.101000	4.003000	0.790000
6.838000	3.738000	1.086000
6.546000	3.794000	0.805000
6.004000	3.652000	0.749000
6.362000	3.612000	0.788000
7.045000	2.876000	0.895000
6.246000	2.882000	0.621000
5.969000	3.838000	0.718000
6.777000	3.510000	0.934000
6.500000	3.503000	0.919000
6.226000	3.631000	0.761000
5.976000	3.872000	0.616000
6.628000	3.876000	0.708000
6.215000	3.504000	0.712000
5.940000	3.976000	0.833000
5.886000	3.500000	1.723000
6.530000	3.540000	0.886000
6.229000	3.518000	0.763000
6.313000	3.778000	0.933000
7.024000	3.580000	0.756000
6.191000	3.601000	0.763000
5.903000	3.549000	0.707000
6.735000	3.550000	0.883000
6.447000	3.498000	1.075000
5.985000	3.550000	0.570000
6.612000	3.582000	0.787000
6.208000	3.536000	0.738000
6.370000	3.707000	0.834000
6.933000	3.614000	1.050000
5.889000	3.947000	0.853000
6.609000	3.728000	0.756000
6.447000	3.561000	0.909000
5.957000	3.978000	0.756000
6.765000	3.524000	1.054000
6.556000	3.688000	0.927000
5.935000	4.065000	0.740000
6.116000	3.756000	1.003000
6.777000	3.637000	0.834000
6.126000	3.897000	0.742000
5.929000	3.801000	1.487000
6.536000	3.534000	0.867000
6.017000	3.534000	0.741000
6.096000	3.919000	0.747000
5.936000	3.910000	0.792000
5.956970	3.563000	1.099000
6.298000	3.592000	1.026000
6.747000	3.600000	1.027000
6.662000	3.652000	0.762000
5.963000	3.539000	1.092000
6.098000	3.830000	0.755000
7.156000	3.747000	0.809000
6.811000	3.603000	0.926000
6.106000	3.892000	0.744000
6.540000	3.822000	0.809000
