framenum	drawtime	copytime
1	5.618000	0.901000
2	6.898000	0.696000
3	5.763000	0.875000
4	5.639000	0.836000
5	5.859000	0.676000
6	5.816000	0.832000
7	6.033000	0.858000
8	5.558000	0.887000
9	5.718000	0.740000
10	6.379000	0.844000
11	5.573000	0.867000
12	5.993000	0.910000
13	6.240000	1.178000
14	5.475000	0.863000
15	6.468000	0.847000
16	6.029000	1.116000
17	5.952000	0.895000
18	6.700000	0.841000
19	5.760000	1.624000
20	6.082000	0.974000
21	5.574000	0.615000
22	5.851000	0.824000
23	5.609000	0.826000
24	6.068000	0.890000
25	5.824000	0.850000
26	5.721000	0.848000
27	6.779000	0.901000
28	7.000000	0.951000
29	6.668000	0.795000
30	6.153000	1.011000
31	10.151000	0.996000
32	7.285000	0.912000
33	6.655000	0.924000
34	6.797000	1.017000
35	6.265000	0.791000
36	6.328000	0.870000
37	6.294000	0.824000
38	6.657000	1.097000
39	5.967000	0.824000
40	5.597000	0.790000
41	6.348000	0.993000
42	6.710000	0.761000
43	6.212000	0.912000
44	6.224000	0.923000
45	7.197000	0.698000
46	5.939000	1.304000
47	5.910000	0.808000
48	6.713000	1.029000
49	5.921000	1.709000
50	5.736000	1.441000
51	6.288000	0.930000
52	7.089000	0.890000
53	5.866000	0.825000
54	6.127000	0.825000
55	7.001000	0.904000
56	6.120000	1.541000
57	6.211000	0.865000
58	6.346000	0.864000
59	6.720000	0.847000
60	5.836000	0.872000
61	5.898000	0.832000
62	6.064000	0.901000
63	5.592000	0.734000
64	5.733000	0.826000
65	5.796000	0.877000
66	6.176000	0.847000
67	6.609000	0.794000
68	5.643000	0.825000
69	6.041000	0.859000
70	6.718000	0.900000
71	5.722000	0.863000
72	5.897000	0.824000
73	6.321000	0.872000
74	6.521973	1.651000
75	6.289000	0.833000
76	5.971000	0.916000
77	6.624000	1.482000
78	4.971000	1.304000
79	4.628000	0.983000
80	4.820000	0.883000
81	5.506000	0.865000
82	4.861000	0.838000
83	4.854000	0.967000
84	5.176000	0.907000
85	5.616000	1.453000
86	5.222000	0.748000
87	5.456000	0.929000
88	6.338000	1.408000
89	5.452000	0.964000
90	5.415000	0.940000
91	5.720000	0.869000
92	5.849000	0.842000
93	5.901000	0.954000
94	5.951000	0.840000
95	6.026000	0.896000
96	5.639000	0.996000
97	6.535000	0.816000
98	5.648000	0.958000
99	5.763000	0.989000
100	6.533000	0.830000
101	5.928000	0.830000
102	6.380000	1.072000
103	5.580000	0.979000
104	5.542000	0.848000
105	6.175000	0.811000
106	6.929000	1.152000
107	6.810000	0.819000
108	5.951000	0.837000
109	6.240000	0.931000
110	6.709000	1.173000
111	5.712000	0.971000
112	5.946000	0.812000
113	7.305000	1.076000
114	6.062000	1.271000
115	6.356000	0.732000
116	6.296000	0.697000
117	6.917000	1.181000
118	6.104000	0.982000
119	6.260000	0.799000
120	7.229000	1.258000
121	6.444000	0.901000
122	5.976000	0.805000
123	6.045000	0.937000
124	6.146000	0.902000
125	6.118000	0.810000
126	6.151000	0.805000
127	5.978000	0.835000
128	6.832000	1.205000
129	5.375000	0.797000
130	5.477000	0.823000
131	6.336000	1.248000
132	5.464000	0.795000
133	5.120000	0.848000
134	5.426000	1.007000
135	4.902000	0.822000
136	4.787000	0.752000
137	5.609000	0.757000
138	4.719000	0.944000
139	5.364000	0.747000
140	5.484000	1.411000
141	5.451000	0.954000
142	6.071000	0.742000
143	5.660000	0.633000
144	5.550000	1.269000
145	6.431000	0.943000
146	5.848000	0.823000
147	6.171000	0.856000
148	6.394000	1.286000
149	7.123000	0.797000
150	6.468000	1.013000
151	6.046000	0.826000
152	6.842000	0.887000
153	5.991000	0.992000
154	5.722000	0.791000
155	6.111000	0.761000
156	6.240000	1.321000
157	6.026000	1.496000
158	5.695000	1.034000
159	6.944000	0.923000
160	5.760000	0.970000
161	5.639000	0.887000
162	6.339000	1.162000
163	6.163000	0.697000
164	5.315000	0.846000
165	5.431000	0.952000
166	5.534000	1.068000
167	5.457000	0.803000
168	5.579000	0.811000
169	5.489000	0.900000
170	5.752000	1.004000
171	6.232000	0.947000
172	5.536000	0.807000
173	5.577000	0.808000
174	6.331000	0.997000
175	5.558000	0.858000
176	5.589000	1.276000
177	5.829000	1.041000
178	6.457000	1.232000
179	6.272000	0.790000
180	5.608000	1.246000
181	6.279000	1.007000
182	5.653000	0.801000
183	5.841000	0.988000
184	5.755000	0.918000
185	5.878000	0.721000
186	6.154000	0.865000
187	5.886000	0.854000
188	6.896000	0.784000
189	6.152000	0.820000
190	6.337000	0.799000
191	7.630000	0.916000
192	6.320000	1.465000
193	6.323000	0.885000
194	6.266000	0.835000
195	7.330000	0.670000
196	6.746000	0.840000
197	6.454000	0.819000
198	6.797000	0.943000
199	7.019000	0.911000
200	6.545000	1.025000
201	6.774000	0.821000
202	6.827000	1.146000
203	6.366000	1.068000
204	6.279000	0.838000
205	6.420000	0.982000
206	7.043000	1.181000
207	6.584000	0.820000
208	6.695000	0.889000
209	6.950000	1.154000
210	7.185000	0.773000
211	6.550000	0.818000
212	6.714000	0.880000
213	6.947000	0.822000
214	6.331000	0.994000
215	6.593000	0.770000
216	6.369000	1.677000
217	6.389000	0.942000
218	7.454000	0.686000
219	7.167000	0.939000
220	6.733000	0.900000
221	6.386000	1.009000
222	6.947000	1.032000
223	7.347000	0.933000
224	6.492000	1.007000
225	6.563000	0.867000
226	7.960000	1.072000
227	7.035000	0.821000
228	6.306000	0.854000
229	6.460000	0.849000
230	6.916000	0.817000
231	6.163000	0.950000
232	6.635000	0.854000
233	6.900000	0.842000
234	7.382000	0.954000
235	6.154000	0.842000
236	6.774000	0.911000
237	6.113000	0.951000
238	5.973000	0.786000
239	6.923000	1.090000
240	6.002000	1.008000
241	5.871000	0.866000
242	6.694000	0.932000
243	6.321000	0.840000
244	5.769000	1.053000
245	5.827000	1.003000
246	5.906000	0.972000
247	5.881000	0.861000
248	6.065000	0.800000
249	7.475000	0.975000
250	6.447000	0.913000
251	6.408000	1.048000
252	6.288000	0.987000
253	6.282000	0.761000
254	6.711000	1.284000
255	6.496000	0.996000
256	6.621000	0.811000
257	6.490000	1.022000
258	6.377000	0.812000
259	6.412000	0.816000
260	6.771000	0.836000
