drawtime	alpharemove	copytime
5.712000	3.673000	0.855000
5.625000	3.690000	0.880000
5.891000	3.693000	0.870000
5.625000	3.630000	0.795000
5.611000	3.668000	0.745000
5.894000	3.697000	0.969000
6.163000	3.679000	0.713000
6.536000	3.668000	0.766000
5.606000	1.553000	1.219000
5.455000	1.543000	0.694000
6.174000	1.555000	1.002000
5.659000	3.658000	0.928000
5.610000	1.495000	0.442000
5.579000	3.660000	0.967000
5.635000	3.660000	0.757000
6.008000	3.651000	0.986000
5.628000	3.714000	1.510000
5.579000	3.741000	0.957000
5.627000	3.670000	0.931000
6.477000	3.658000	0.738000
6.528000	3.630000	0.828000
5.968000	3.693000	0.824000
6.805000	3.666000	0.994000
6.305000	3.686000	0.812000
6.371000	3.618000	0.808000
6.582000	3.632000	0.893000
6.372000	3.796000	0.769000
6.226000	3.611000	0.791000
6.345000	3.778000	0.991000
6.145000	3.668000	0.840000
9.939000	3.945000	0.792000
6.255000	3.645000	0.939000
6.796000	3.676000	1.229000
6.511000	3.793000	1.234000
6.347000	3.932000	0.786000
6.310974	3.607000	0.809000
6.548000	3.897000	0.838000
10.539000	3.890000	1.977000
6.910000	3.807000	0.887000
6.402000	3.669000	1.027000
7.162000	3.777000	0.985000
7.449000	3.661000	0.743000
6.641000	3.693000	0.980000
6.021000	3.653000	1.015000
6.349000	3.670000	0.822000
7.317000	3.656000	1.003000
6.431000	3.664000	0.838000
6.940000	3.658000	0.999000
7.096000	3.672000	1.009000
6.953000	3.643000	0.880000
6.487000	3.655000	0.893000
6.082000	3.665000	1.261000
6.860000	3.689000	0.991000
6.277000	3.685000	0.843000
6.522000	3.708000	0.994000
6.152000	3.667000	1.104000
6.405000	3.675000	0.802000
6.103000	3.648000	0.777000
5.684000	3.680000	0.844000
6.358000	3.687000	0.992000
5.343000	3.676000	0.847000
5.069000	3.684000	0.778000
4.775000	3.698000	1.006000
4.548000	3.722000	0.845000
5.020000	3.716000	1.412000
4.747000	3.685000	0.842000
4.257000	3.697000	0.877000
4.330000	3.687000	0.867000
4.138000	3.660000	0.854000
4.191000	3.658997	0.833000
4.809000	3.667000	0.804000
4.304000	3.708000	0.860000
4.157000	3.701000	0.956000
4.160000	3.694000	1.000000
4.543000	3.669000	0.925000
4.117000	3.662000	0.983000
3.978000	3.672000	1.006000
4.272000	3.951000	0.947000
3.680000	3.674000	1.047000
3.622000	4.149000	1.009000
3.586000	3.712000	0.987000
3.570000	3.670000	1.044000
4.505000	3.816000	0.992000
3.477000	3.671000	0.997000
3.930000	3.693000	1.051000
4.418000	3.705000	1.103000
3.663000	3.673000	1.000000
3.820000	3.647000	1.019000
4.237000	4.088000	0.974000
3.339000	3.641000	0.971000
3.655000	3.616000	0.955000
3.289000	3.654000	0.987000
3.488000	3.805000	0.937000
3.483000	3.909000	1.028000
4.110000	3.595000	0.864000
3.448000	4.242000	1.312000
3.696000	3.612000	0.885000
3.352000	4.214000	1.013000
3.486000	3.606000	0.812000
3.544000	3.644000	0.862000
3.400000	3.678000	1.016000
3.579000	3.653000	0.897000
3.465000	3.660000	1.004000
3.426000	3.619000	1.068000
4.292000	3.638000	1.008000
4.128000	3.621000	0.981000
4.116000	3.885000	1.693000
3.811000	3.835000	1.096000
3.798000	3.653000	1.029000
4.749000	3.625000	0.932000
4.135000	3.963000	0.901000
4.095000	3.758000	0.998000
4.298000	3.660000	0.903000
4.969000	3.915000	1.093000
4.452000	4.083000	1.110000
4.649000	3.733000	1.035000
5.006000	3.599000	0.906000
4.811000	3.656000	1.037000
5.574000	3.628000	1.030000
5.169000	3.640000	0.748000
5.335000	3.639000	1.070000
5.478000	3.928000	0.768000
4.704000	3.697000	1.021000
5.396000	3.617000	0.875000
5.132000	4.079000	1.006000
4.663000	3.620000	1.000000
5.276000	3.778000	0.907000
4.351000	4.001000	0.760000
4.261000	3.609000	1.061000
3.686000	3.796000	0.818000
3.387000	3.641000	0.999000
3.311000	3.680000	1.121000
6.859000	3.779000	0.910000
2.737000	3.660000	1.013000
2.686000	3.682000	0.998000
2.616000	3.754000	1.257000
