recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
25.691000	0.212000	3.158000	0.385000	33.210999	30.110506	109.339104
25.389999	0.173000	3.164000	0.334000	32.672001	30.607246	110.827995
24.267000	0.225000	3.639000	0.389000	31.795000	31.451487	117.251900
29.625999	0.246000	3.170000	0.405000	35.063000	28.520092	103.192497
25.355000	0.202000	3.137000	0.349000	31.351000	31.896910	117.287025
23.091999	0.733000	3.194000	0.396000	30.681999	32.592400	120.800346
23.403000	0.289000	3.176000	0.508000	31.157000	32.095516	119.364601
28.584999	0.187000	3.141000	0.349000	33.784000	29.599810	107.162796
24.052999	0.208000	3.192000	0.371000	31.406000	31.841049	116.471771
23.951000	0.212000	3.122000	0.352000	30.608000	32.671196	119.798134
23.910000	0.222000	3.409000	0.370000	30.427999	32.864468	121.296021
23.981001	0.233000	3.191000	0.561000	30.547001	32.736439	121.677536
24.879999	0.222000	3.220000	0.381000	30.131001	33.188412	123.131088
25.247999	0.216000	4.043000	0.435000	31.327999	31.920328	121.047676
26.969999	0.217000	4.124000	0.369000	32.438999	30.827091	117.993675
25.834999	0.211000	3.711000	0.383000	31.826000	31.420851	117.436478
27.839001	0.261000	3.148000	0.414000	32.464001	30.803350	112.394279
24.096008	0.188000	3.207000	0.344000	28.893005	34.610455	129.192566
25.938000	0.259000	3.188000	0.400000	31.104000	32.150208	119.624336
23.091999	0.224000	3.180000	0.384000	31.205999	32.045120	118.318924
25.038000	0.228000	3.166000	0.399000	31.400999	31.846121	117.537788
27.127001	0.235000	3.187000	0.388000	31.773001	31.473263	117.063545
26.488001	0.221000	3.187000	0.352000	31.110001	32.144005	118.251945
26.313999	0.214000	3.154000	0.386000	33.268002	30.058914	109.110664
29.613001	0.166000	2.431000	0.559000	33.792999	29.591928	106.677567
25.306000	0.235000	3.146000	0.379000	30.534000	32.750378	120.986908
25.893000	0.226000	3.136000	0.347000	30.482000	32.806248	120.893547
27.719000	0.293000	1.094000	0.307000	30.832001	32.433834	109.156281
25.311001	0.134000	0.987000	0.312000	30.524000	32.761105	110.231476
25.719000	0.227000	4.079000	0.372000	32.192001	31.063618	118.435196
26.023001	0.214000	3.929000	0.358000	31.341999	31.906069	122.075745
27.198000	0.640000	6.001000	0.476000	34.647999	28.861696	116.871437
26.947001	0.226000	3.139000	0.405000	32.841000	30.449743	111.502388
25.558001	0.239000	5.052000	0.424000	33.723999	29.652473	115.710487
26.409000	0.240000	4.309000	0.620000	33.174000	30.144089	116.441475
25.559000	0.234000	4.305000	0.389000	31.740000	31.505987	120.447441
24.608000	0.225000	4.966000	0.394000	32.570000	30.703102	112.317726
23.688999	0.310000	3.455000	0.386000	32.278000	30.980854	113.456444
25.337000	0.243000	6.275000	0.392000	32.776001	30.510128	125.047485
