drawtime	alpharemove	copytime
6.073000	6.005000	1.018000
5.526000	6.028000	0.800000
5.448000	3.996000	0.749000
5.769000	6.153000	0.906000
5.613000	6.599000	0.779000
5.541000	6.307000	0.818000
5.809000	6.032000	0.924000
5.896000	6.275000	0.926000
5.741000	6.053000	0.787000
5.927000	6.033000	0.734000
5.771000	6.044000	0.777000
5.616000	6.038000	0.974000
5.609000	6.036000	0.901000
5.655000	6.018000	0.924000
5.595000	6.052000	0.773000
5.597000	6.036000	0.786000
5.612000	6.033000	0.784000
5.645000	6.024000	0.763000
6.006000	6.011000	0.822000
6.220000	6.032000	0.858000
6.649000	6.010000	1.112000
6.253000	6.019000	0.817000
6.525000	6.052000	0.891000
6.256000	6.022000	1.026000
6.120000	6.071000	0.778000
6.397000	6.149000	0.776000
7.115000	6.152000	0.944000
7.105000	6.091000	0.723000
6.645000	6.039000	0.848000
6.413000	6.030000	0.842000
9.670000	6.028000	0.995000
6.418000	6.047000	0.810000
7.615000	6.013000	0.790000
6.534000	6.008000	1.448000
6.530000	6.052000	0.921000
6.431000	6.039000	0.833000
6.360000	6.059000	0.830000
5.956000	6.045000	0.953000
6.171000	6.006000	0.850000
6.305000	6.080000	0.826000
6.214000	6.057000	0.871000
6.062000	6.034000	0.892000
6.109000	6.052000	0.839000
6.187000	6.053000	0.905000
6.245000	6.022000	0.821000
6.226000	6.069000	0.871000
6.168000	6.021000	0.935000
6.279000	6.044000	0.827000
6.197000	6.024000	0.836000
6.157000	6.037000	0.956000
6.196000	6.043000	0.833000
7.395000	6.034000	0.720000
6.838000	6.031000	0.829000
6.123000	6.026000	0.823000
6.495000	6.025000	0.974000
6.143000	6.036000	0.826000
6.138000	6.072000	0.937000
7.051000	6.042000	0.959000
6.108000	6.078000	0.853000
6.016000	2.970000	0.637000
6.658000	2.889000	0.674000
6.685000	2.987000	0.595000
6.148000	2.967000	0.707000
6.195000	6.054000	0.827000
6.066000	6.018000	0.873000
6.191000	6.073000	0.936000
6.188000	6.019000	0.828000
6.723000	6.006000	0.823000
6.638000	6.015000	0.989000
6.910000	6.081000	0.834000
7.148000	5.996000	1.287000
6.069000	2.650000	1.455000
6.274000	2.786000	0.668000
6.526000	6.017000	0.937000
6.920000	5.955000	1.125000
7.077000	5.968000	0.990000
6.346000	5.963000	0.868000
6.768000	5.994000	1.405000
6.109000	5.964000	0.803000
6.152000	6.162000	0.824000
6.556000	5.948000	1.009000
6.187000	6.021000	0.963000
6.409000	5.960000	0.904000
7.173000	6.003000	0.957000
